datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-10-10 20:00:00,1728604800000,0.5296651744741632,ripple,usd,29991523628.326267,1432557077.6123195
2024-10-11 20:00:00,1728691200000,0.5383034205225485,ripple,usd,30490054705.50027,1190815208.1062524
2024-10-12 20:00:00,1728777600000,0.5395284850689778,ripple,usd,30564659258.72339,645446626.8989004
2024-10-13 20:00:00,1728864000000,0.5316807964040682,ripple,usd,30100697508.467445,722573856.9859535
2024-10-14 20:00:00,1728950400000,0.5476009966197044,ripple,usd,31002265585.27816,1242900975.6585948
2024-10-15 20:00:00,1729036800000,0.5409632993649031,ripple,usd,30629081825.39223,1367435532.1191251
2024-10-16 20:00:00,1729123200000,0.5479583804429464,ripple,usd,31018277725.845608,1323767637.0882344
2024-10-17 20:00:00,1729209600000,0.5437042949601256,ripple,usd,30820760554.066605,1540201676.826673
2024-10-18 20:00:00,1729296000000,0.5465644502575023,ripple,usd,31001905885.914104,1179631857.7752745
2024-10-19 20:00:00,1729382400000,0.5443283945989427,ripple,usd,30867246079.877224,607926219.2223777
2024-10-20 20:00:00,1729468800000,0.5465831979073458,ripple,usd,30973256934.50095,716137205.8632469
2024-10-21 20:00:00,1729555200000,0.5445056512310072,ripple,usd,30875972291.16193,1687139598.4189222
2024-10-22 20:00:00,1729641600000,0.5335396650481757,ripple,usd,30253863576.152824,1413784341.5111709
2024-10-23 20:00:00,1729728000000,0.5258264655883778,ripple,usd,29817145765.75719,1131889382.0732894
2024-10-24 20:00:00,1729814400000,0.5320282424020402,ripple,usd,30184555551.536434,1105162964.2092311
2024-10-25 20:00:00,1729900800000,0.500895433917532,ripple,usd,28440409038.961575,1539105236.2092319
2024-10-26 20:00:00,1729987200000,0.5124799627206477,ripple,usd,29112702064.221813,746298139.3435653
2024-10-27 20:00:00,1730073600000,0.51635641669338,ripple,usd,29334461123.41089,515723360.5019684
2024-10-28 20:00:00,1730160000000,0.5191002715669417,ripple,usd,29485957976.542343,883022544.7410569
2024-10-29 20:00:00,1730246400000,0.528517656350638,ripple,usd,29961006346.77696,1258508083.114544
2024-10-30 20:00:00,1730332800000,0.5226520345867254,ripple,usd,29701886227.67498,981528954.6185482
2024-10-31 20:00:00,1730419200000,0.5091122552105335,ripple,usd,28963392418.661438,1131354676.4350793
2024-11-01 20:00:00,1730505600000,0.5131424762844533,ripple,usd,29166533751.235336,1355947931.230893
2024-11-02 20:00:00,1730592000000,0.5097643435439516,ripple,usd,28985111559.766685,498091504.1066253
2024-11-03 19:00:00,1730678400000,0.5030000429314513,ripple,usd,28618008472.118652,949812735.3091639
2024-11-04 19:00:00,1730764800000,0.5028741495746917,ripple,usd,28588507586.622833,1127632654.5137217
2024-11-05 19:00:00,1730851200000,0.5128033591125852,ripple,usd,29164852946.820103,1210224258.0575829
2024-11-06 19:00:00,1730937600000,0.5424824356184882,ripple,usd,30863600008.502956,2317119597.7454667
